legacy_id,objectid,collectionid,display_template,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_transcript,title,ark,call_number,archival_collection,finding_aid_ark,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,description,disclaimer,language,chronological_subject,subject,subject_uri,location,latitude,longitude,location_uri,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,digital_collection,digital_collection_ark,digital_origin
FarmsteadPictureCollection_1,farmsteadpicturecollection1,farmsteadpicturecollection,image,0390_IowaFarmsteadPictureCollection_0001-001-001.tif,0390_iowafarmsteadpicturecollection_0001-001-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-001-001_sm.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-001-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/thumbs/0390_iowafarmsteadpicturecollection_0001-001-001_th.jpg,,"Stock farm of Mrs. H. Fullinwider and residence of Joash Hedges, Huron Township, Des Moines County, Iowa",https://n2t.net/ark:/87292/w9r62z,MS 390,Iowa Farmstead Picture collection,https://n2t.net/ark:/87292/w95x86,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,"Item from a collection of engravings, lithographs (some hand-colored), and photogravures depicting farmsteads and stock farms in Iowa circa 1871-1904. Prints in the collection originally appeared in such vintage atlases as A. T. Andreas's ""Illustrated historical atlas of the state of Iowa"" (1875), M. Huebinger's ""Atlas of the state of Iowa"" (1904), and other publications.",,eng,1880s,Farm buildings;Livestock farms,http://id.worldcat.org/fast/920970;http://id.worldcat.org/fast/1745532,Iowa--Des Moines County;Iowa,40.91798339,-91.180031,http://id.worldcat.org/fast/1213454;http://id.worldcat.org/fast/1205835,lithographs,http://vocab.getty.edu/aat/300041379,atlases;illustrations (layout features),http://vocab.getty.edu/aat/300028053;http://vocab.getty.edu/aat/300015578,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1880,2016-06-15,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,Iowa farmstead picture collection,https://n2t.net/ark:/87292/w9st7dw8v,reformatted digital
FarmsteadPictureCollection_10,farmsteadpicturecollection10,farmsteadpicturecollection,image,0390_IowaFarmsteadPictureCollection_0001-003-002.tif,0390_iowafarmsteadpicturecollection_0001-003-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-003-002_sm.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-003-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/thumbs/0390_iowafarmsteadpicturecollection_0001-003-002_th.jpg,,"Farm residences of Josiah Tuffy and H. O. Beebee, Taylor Township, Harrison County, Iowa",https://n2t.net/ark:/87292/w9q618,MS 390,Iowa Farmstead Picture collection,https://n2t.net/ark:/87292/w95x86,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,"Item from a collection of engravings, lithographs (some hand-colored), and photogravures depicting farmsteads and stock farms in Iowa circa 1871-1904. Prints in the collection originally appeared in such vintage atlases as A. T. Andreas's ""Illustrated historical atlas of the state of Iowa"" (1875), M. Huebinger's ""Atlas of the state of Iowa"" (1904), and other publications.",,eng,1870s,Farmhouses;Farms;Farm buildings,http://id.worldcat.org/fast/921409;http://id.worldcat.org/fast/921422;http://id.worldcat.org/fast/920970,Iowa--Harrison County;Iowa,41.68771828,-95.82257979,http://id.worldcat.org/fast/1219120;http://id.worldcat.org/fast/1205835,,,atlases;illustrations (layout features),http://vocab.getty.edu/aat/300028053;http://vocab.getty.edu/aat/300015578,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1875,2016-06-15,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,Iowa farmstead picture collection,https://n2t.net/ark:/87292/w9st7dw8v,reformatted digital
FarmsteadPictureCollection_11,farmsteadpicturecollection11,farmsteadpicturecollection,image,0390_IowaFarmsteadPictureCollection_0001-003-001.tif,0390_iowafarmsteadpicturecollection_0001-003-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-003-001_sm.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-003-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/thumbs/0390_iowafarmsteadpicturecollection_0001-003-001_th.jpg,,"Farm residence of Charles Gilmore and stock farm and residence of R. McGavren, St. Johns Township, Harrison County, Iowa",https://n2t.net/ark:/87292/w9kc9s,MS 390,Iowa Farmstead Picture collection,https://n2t.net/ark:/87292/w95x86,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,"Item from a collection of engravings, lithographs (some hand-colored), and photogravures depicting farmsteads and stock farms in Iowa circa 1871-1904. Prints in the collection originally appeared in such vintage atlases as A. T. Andreas's ""Illustrated historical atlas of the state of Iowa"" (1875), M. Huebinger's ""Atlas of the state of Iowa"" (1904), and other publications.",,eng,1870s,Farmhouses;Farms;Livestock farms,http://id.worldcat.org/fast/921409;http://id.worldcat.org/fast/921422;http://id.worldcat.org/fast/1745532,Iowa--Harrison County;Iowa,41.68771828,-95.82257979,http://id.worldcat.org/fast/1219120;http://id.worldcat.org/fast/1205835,lithographs,http://vocab.getty.edu/aat/300041379,atlases;illustrations (layout features),http://vocab.getty.edu/aat/300028053;http://vocab.getty.edu/aat/300015578,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1875,2016-06-15,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,Iowa farmstead picture collection,https://n2t.net/ark:/87292/w9st7dw8v,reformatted digital
FarmsteadPictureCollection_12,farmsteadpicturecollection12,farmsteadpicturecollection,image,0390_IowaFarmsteadPictureCollection_0001-005-002.tif,0390_iowafarmsteadpicturecollection_0001-005-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-005-002_sm.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-005-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/thumbs/0390_iowafarmsteadpicturecollection_0001-005-002_th.jpg,,"Iowa dairies and stock farms in ""Atlas of the State of Iowa""",https://n2t.net/ark:/87292/w9fp54,MS 390,Iowa Farmstead Picture collection,https://n2t.net/ark:/87292/w95x86,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Huebinger, M. (Melchior)",http://id.loc.gov/authorities/names/n80110472,"Illustration of Iowa dairies and stock farms. Published in M. (Melchior) Huebinger, Atlas of the State of Iowa, Davenport, Iowa: Iowa Publishing Co., Inc., 1904, plates 30-31.",,eng,1900s,Dairy farms;Livestock farms;Dairy farming,http://id.worldcat.org/fast/886909;http://id.worldcat.org/fast/1745532;http://id.worldcat.org/fast/886881,Iowa--Cass County;Iowa,41.33317646,-94.92882449,http://id.worldcat.org/fast/1214934;http://id.worldcat.org/fast/1205835,lithographs,http://vocab.getty.edu/aat/300041379,atlases;illustrations (layout features),http://vocab.getty.edu/aat/300028053;http://vocab.getty.edu/aat/300015578,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1904,2016-06-15,Iowa State University. Library;Iowa Publishing Co.,http://id.loc.gov/authorities/names/n82160893;http://id.loc.gov/authorities/names/n2010002973,Iowa farmstead picture collection,https://n2t.net/ark:/87292/w9st7dw8v,reformatted digital
FarmsteadPictureCollection_13,farmsteadpicturecollection13,farmsteadpicturecollection,image,0390_IowaFarmsteadPictureCollection_0001-006-001.tif,0390_iowafarmsteadpicturecollection_0001-006-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-006-001_sm.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-006-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/thumbs/0390_iowafarmsteadpicturecollection_0001-006-001_th.jpg,,"Orchard Grove Farm, Section 6, Pilot Grove Township, Montgomery County, Iowa",https://n2t.net/ark:/87292/w9b03j,MS 390,Iowa Farmstead Picture collection,https://n2t.net/ark:/87292/w95x86,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Andreas, A. T. (Alfred Theodore), 1839-1900",http://id.loc.gov/authorities/names/n50077518,"Illustration of Orchard Grove Farm, including Wilson Post Office, a grocery store, and the farm residence and nursery of Isaac H. Page, postmaster. Published in A. T. Andreas, Illustrated Historical Atlas of the State of Iowa, Chicago: Andreas Atlas Co., 1875.",,eng,1870s,Farms,http://id.worldcat.org/fast/921422,Iowa--Montgomery County;Iowa,41.02554575,-95.15897525,http://id.worldcat.org/fast/1212221;http://id.worldcat.org/fast/1205835,lithographs,http://vocab.getty.edu/aat/300041379,atlases;illustrations (layout features),http://vocab.getty.edu/aat/300028053;http://vocab.getty.edu/aat/300015578,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1875,2016-06-15,"Iowa State University. Library;Andreas, Lyter & Co.",http://id.loc.gov/authorities/names/n82160893;http://id.loc.gov/authorities/names/n83227506,Iowa farmstead picture collection,https://n2t.net/ark:/87292/w9st7dw8v,reformatted digital
FarmsteadPictureCollection_14,farmsteadpicturecollection14,farmsteadpicturecollection,image,0390_IowaFarmsteadPictureCollection_0001-006-002.tif,0390_iowafarmsteadpicturecollection_0001-006-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-006-002_sm.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-006-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/thumbs/0390_iowafarmsteadpicturecollection_0001-006-002_th.jpg,,"Stock farms and residences of J. M. Baxter, Esq., and W. F. Brenton, Cass County, Iowa",https://n2t.net/ark:/87292/w96607,MS 390,Iowa Farmstead Picture collection,https://n2t.net/ark:/87292/w95x86,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Andreas, A. T. (Alfred Theodore), 1839-1900",http://id.loc.gov/authorities/names/n50077518,"Illustrations of the stock farms and residences of J. M. Baxter, Esq., Sections 1 and 6, Cass Township, Cass County, Iowa; and W. F. Brenton, (Brenton's Grove), Section 23, Edna Township, Cass County. Published in A. T. Andreas, Illustrated Historical Atlas of the State of Iowa, Chicago: Andreas Atlas Co., 1875.",,eng,1870s,Farm buildings;Livestock farms,http://id.worldcat.org/fast/920970;http://id.worldcat.org/fast/1745532,Iowa--Cass County;Iowa,41.33317646,-94.92882449,http://id.worldcat.org/fast/1214934;http://id.worldcat.org/fast/1205835,,,atlases;illustrations (layout features),http://vocab.getty.edu/aat/300028053;http://vocab.getty.edu/aat/300015578,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1875,2016-06-15,"Iowa State University. Library;Andreas, Lyter & Co.",http://id.loc.gov/authorities/names/n82160893;http://id.loc.gov/authorities/names/n83227506,Iowa farmstead picture collection,https://n2t.net/ark:/87292/w9st7dw8v,reformatted digital
FarmsteadPictureCollection_15,farmsteadpicturecollection15,farmsteadpicturecollection,image,0390_IowaFarmsteadPictureCollection_0001-010-001.tif,0390_iowafarmsteadpicturecollection_0001-010-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-010-001_sm.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-010-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/thumbs/0390_iowafarmsteadpicturecollection_0001-010-001_th.jpg,,"Cattle at the residence of D. Cookson and Sons, near West Liberty, and other buildings and churches in Iowa",https://n2t.net/ark:/87292/w92g8s,MS 390,Iowa Farmstead Picture collection,https://n2t.net/ark:/87292/w95x86,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Andreas, A. T. (Alfred Theodore), 1839-1900",http://id.loc.gov/authorities/names/n50077518,"Illustrations of Mt. Vernon House, Mt. Vernon; Flouring Mill of Greer & Hunter, Decorah; W. Taylor Dry Goods & Co., Spillville; G. Priest and Son, Bloomfield Mills, Dealers in Grain, Flour & Mill Feed, Bloomfield, Davis County; Maple Grove Herd, residence of D. Cookson and Sons, ""Breeders of Thorough Bred Short Horn Cattle,"" near West Liberty; St. Benedict's Church and Parsonage, Decorah; Catholic Church and Pastoral Residence, Cresco, M. A. McCarty, Pastor; and First Methodist Episcopal Church, Marshalltown. Published in Andreas, A. T., Illustrated Historical Atlas of the State of Iowa, Chicago: Andreas Atlas Co., 1875, pages 15-16.",,eng,,Church buildings;Buildings;Commercial buildings;Livestock farms;Shorthorn cattle--Breeding;Cattle breeds,http://id.worldcat.org/fast/860599;http://id.worldcat.org/fast/840962;http://id.worldcat.org/fast/869373;http://id.worldcat.org/fast/1745532;http://id.worldcat.org/fast/1767059;http://id.worldcat.org/fast/849710,Iowa--Linn County;Iowa--Winneshiek County;Iowa--Davis County;Iowa--Muscatine County;Iowa--Marshall County;Iowa--Howard County;Iowa,42.08802983,-91.59657298,http://id.worldcat.org/fast/1212643;http://id.worldcat.org/fast/1212628;http://id.worldcat.org/fast/1212220;http://id.worldcat.org/fast/1208032;http://id.worldcat.org/fast/1216392;http://id.worldcat.org/fast/1212638;http://id.worldcat.org/fast/1205835,lithographs,http://vocab.getty.edu/aat/300041379,atlases;illustrations (layout features),http://vocab.getty.edu/aat/300028053;http://vocab.getty.edu/aat/300015578,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1875,2016-06-15,"Iowa State University. Library;Andreas, Lyter & Co.",http://id.loc.gov/authorities/names/n82160893;http://id.loc.gov/authorities/names/n83227506,Iowa farmstead picture collection,https://n2t.net/ark:/87292/w9st7dw8v,reformatted digital
FarmsteadPictureCollection_16,farmsteadpicturecollection16,farmsteadpicturecollection,image,0390_IowaFarmsteadPictureCollection_0001-011-002.tif,0390_iowafarmsteadpicturecollection_0001-011-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-011-002_sm.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-011-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/thumbs/0390_iowafarmsteadpicturecollection_0001-011-002_th.jpg,,"Residences of George D. Woodin, J. A. Donnell, John C. Hogin, and H. W. Selby, Keokuk County, Iowa",https://n2t.net/ark:/87292/w9xp5g,MS 390,Iowa Farmstead Picture collection,https://n2t.net/ark:/87292/w95x86,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Andreas, A. T. (Alfred Theodore), 1839-1900",http://id.loc.gov/authorities/names/n50077518,"Illustration of the Sigourney, Iowa, residences of George D. Woodin, Attorney at Law; J. A. Donnell, Esq.; the Honorable John C. Hogin; and Dr. H. W. Selby. Published in A. T. Andreas, Illustrated Historical Atlas of the State of Iowa, Chicago: Andreas Atlas Co., 1875, pages 75-76.",,eng,,Dwellings,http://id.worldcat.org/fast/899978,Iowa--Keokuk County,41.33652726,-92.17562522,http://id.worldcat.org/fast/1221559,,,atlases;illustrations (layout features),http://vocab.getty.edu/aat/300028053;http://vocab.getty.edu/aat/300015578,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1875,2016-06-15,"Iowa State University. Library;Andreas, Lyter & Co.",http://id.loc.gov/authorities/names/n82160893;http://id.loc.gov/authorities/names/n83227506,Iowa farmstead picture collection,https://n2t.net/ark:/87292/w9st7dw8v,reformatted digital
FarmsteadPictureCollection_17,farmsteadpicturecollection17,farmsteadpicturecollection,image,0390_IowaFarmsteadPictureCollection_0001-012-001.tif,0390_iowafarmsteadpicturecollection_0001-012-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-012-001_sm.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-012-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/thumbs/0390_iowafarmsteadpicturecollection_0001-012-001_th.jpg,,"""Excelsior mower"" working with the cutter bar elevated and right wheel passing through a ditch",https://n2t.net/ark:/87292/w9t03w,MS 390,Iowa Farmstead Picture collection,https://n2t.net/ark:/87292/w95x86,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,"Item from a collection of engravings, lithographs (some hand-colored), and photogravures depicting farmsteads and stock farms in Iowa circa 1871-1904. Prints in the collection originally appeared in such vintage atlases as A. T. Andreas's ""Illustrated historical atlas of the state of Iowa"" (1875), M. Huebinger's ""Atlas of the state of Iowa"" (1904), and other publications.",,eng,1870s,Harvesting machinery;Agricultural machinery,http://id.worldcat.org/fast/951770;http://id.worldcat.org/fast/801054,United States,,,http://id.worldcat.org/fast/1204155,,,illustrations (layout features),http://vocab.getty.edu/aat/300015578,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1871,2016-06-15,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,Iowa farmstead picture collection,https://n2t.net/ark:/87292/w9st7dw8v,reformatted digital
FarmsteadPictureCollection_2,farmsteadpicturecollection2,farmsteadpicturecollection,image,0390_IowaFarmsteadPictureCollection_0001-004-001.tif,0390_iowafarmsteadpicturecollection_0001-004-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-004-001_sm.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/small/0390_iowafarmsteadpicturecollection_0001-004-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/farmsteadpicturecollection/thumbs/0390_iowafarmsteadpicturecollection_0001-004-001_th.jpg,,"Residence of C. W. Norton, breeder of cattle and hogs, Wilton Township, Muscatine County, Iowa",https://n2t.net/ark:/87292/w9mc8q,MS 390,Iowa Farmstead Picture collection,https://n2t.net/ark:/87292/w95x86,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Andreas, A. T. (Alfred Theodore), 1839-1900",http://id.loc.gov/authorities/names/n50077518,"Illustration of the residence of C. W. Norton, Breeder of Red Short Horn Cattle and Berkshire Hogs, Section 12, Wilton Township, Muscatine County, Iowa, P.O. Address Durant. Published in A. T. Andreas, Illustrated Historical Atlas of the State of Iowa, Chicago: Andreas Atlas Co., 1875, page 90.",,eng,1870s,Farmhouses;Farms;Livestock farms;Farm buildings;Cattle--Breeding;Swine,http://id.worldcat.org/fast/921409;http://id.worldcat.org/fast/921422;http://id.worldcat.org/fast/1745532;http://id.worldcat.org/fast/920970;http://id.worldcat.org/fast/849471;http://id.worldcat.org/fast/1140419,Iowa--Muscatine County;Iowa,41.48815143,-91.09990151,http://id.worldcat.org/fast/1208032;http://id.worldcat.org/fast/1205835,lithographs,http://vocab.getty.edu/aat/300041379,atlases;illustrations (layout features),http://vocab.getty.edu/aat/300028053;http://vocab.getty.edu/aat/300015578,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1875,2016-06-15,"Iowa State University. Library;Andreas, Lyter & Co.",http://id.loc.gov/authorities/names/n82160893;http://id.loc.gov/authorities/names/n83227506,Iowa farmstead picture collection,https://n2t.net/ark:/87292/w9st7dw8v,reformatted digital
